  Description                data   r5     r3        r4_1   r4_0     r7     r1     r0
Before BRANCHES              0xa3   0x0a  0x3000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xa3   0x0a  0x3000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xa4   0x0a  0x4000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xa4   0x0a  0x4000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xa5   0x0a  0x5000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xa5   0x0a  0x5000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xa6   0x0a  0x6000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xa6   0x0a  0x6000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xa7   0x0a  0x7000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xa7   0x0a  0x7000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xa8   0x0a  0x8000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xa8   0x0a  0x8000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xa9   0x0a  0x9000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xa9   0x0a  0x9000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xaa   0x0a  0xa000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xaa   0x0a  0xa000       10     11   -NA-   0x42   0x42
